session.id,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
11427,22,0.1524,0.1327,-0.0197,0.1207,0.2553,0.1346,0.1256,0.156,0.0304,0.146,0.2254,0.0794,0.0882,0.3707,0.2825,0.1196,0.1811,0.0615,0.1138,0.1109,-0.0029,0.1344,0.0616,-0.0728,0.1336,0.1584,0.0248,0.1011,0.2187,0.1176,0.0995
11427,23,0.1454,0.1496,0.0042,0.1154,0.1621,0.0467,0.0943,0.0605,-0.0338,0.1415,0.1903,0.0488,0.1032,0.3553,0.2521,0.1217,0.1608,0.0391,0.1077,0.1221,0.0144,0.1442,0.0856,-0.0586,0.1056,0.1402,0.0346,0.0932,0.2414,0.1482,0.1082
11427,24,0.1626,0.1535,-0.0091,0.1239,0.1112,-0.0127,0.1468,0.1513,0.0045,0.1059,0.1249,0.019,0.0692,0.3661,0.2969,0.1209,0.1537,0.0328,0.113,0.1152,0.0022,0.127,0.0798,-0.0472,0.1093,0.1568,0.0475,0.0932,0.2356,0.1424,0.0953
11427,25,0.1344,0.1179,-0.0165,0.1484,0.2733,0.1249,0.1346,0.6157,0.4811,0.0892,0.257,0.1678,0.0882,0.8251,0.7369,0.1296,0.2531,0.1235,0.1436,0.1606,0.017,0.1362,0.0898,-0.0464,0.099,0.146,0.047,0.1035,0.2148,0.1113,0.0964
11427,26,0.1623,0.1636,0.0013,0.1386,0.1634,0.0248,0.1146,0.297,0.1824,0.1375,0.2486,0.1111,0.0839,0.3102,0.2263,0.1394,0.2049,0.0655,0.1399,0.1988,0.0589,0.161,0.2503,0.0893,0.0884,0.1641,0.0757,0.1024,0.3084,0.206,0.0528
11427,27,0.1729,0.1448,-0.0281,0.1431,0.1571,0.014,0.1067,0.1056,-0.0011,0.1205,0.1096,-0.0109,0.1207,0.323,0.2023,0.1133,0.1825,0.0692,0.1268,0.1033,-0.0235,0.1197,0.1126,-0.0071,0.0987,0.1533,0.0546,0.0842,0.4113,0.3271,0.099
11427,28,0.174,0.1311,-0.0429,0.1379,0.1299,-0.008,0.1144,0.0991,-0.0153,0.1409,0.1623,0.0214,0.1022,0.3047,0.2025,0.1217,0.1922,0.0705,0.1132,0.1149,0.0017,0.1231,0.0935,-0.0296,0.136,0.1474,0.0114,0.1024,0.2097,0.1073,0.0863
11427,30,0.1898,0.1385,-0.0513,0.1288,0.1431,0.0143,0.1049,0.0634,-0.0415,0.1212,0.1954,0.0742,0.0837,0.2889,0.2052,0.1109,0.1487,0.0378,0.1138,0.1226,0.0088,0.1639,0.0367,-0.1272,0.1307,0.1724,0.0417,0.0942,0.2387,0.1445,0.0718
11427,31,0.1494,0.1179,-0.0315,0.1275,0.123,-0.0045,0.1164,0.1468,0.0304,0.1164,0.1362,0.0198,0.0449,0.3092,0.2643,0.1185,0.1586,0.0401,0.1143,0.135,0.0207,0.1394,0.0489,-0.0905,0.1214,0.1657,0.0443,0.0916,0.192,0.1004,0.0979
11427,32,0.1341,0.11,-0.0241,0.1119,0.1449,0.033,0.1618,0.1607,-0.0011,0.137,0.1848,0.0478,0.1177,0.344,0.2263,0.1265,0.1709,0.0444,0.1183,0.1136,-0.0047,0.1479,0.0851,-0.0628,0.1141,0.1223,0.0082,0.1053,0.2057,0.1004,0.0969
11427,34,0.2252,0.187,-0.0382,0.1203,0.0011,-0.1192,0.0624,0.2396,0.1772,0.1465,0.1013,-0.0452,0.0719,0.5166,0.4447,0.1223,0.2076,0.0853,0.1156,0.0779,-0.0377,0.1147,0.0983,-0.0164,0.1062,0.1307,0.0245,0.1072,0.2219,0.1147,0.0953
11427,35,0.1737,0.1432,-0.0305,0.1357,0.1576,0.0219,0.0705,0.1056,0.0351,0.1475,0.157,0.0095,0.0956,0.3161,0.2205,0.1131,0.1749,0.0618,0.1228,0.1078,-0.015,0.1289,0.0769,-0.052,0.0845,0.1199,0.0354,0.108,0.2185,0.1105,0.0866
11427,36,0.1869,0.1398,-0.0471,0.1429,0.1415,-0.0014,0.1131,0.0906,-0.0225,0.1307,0.9712,0.8405,0.1238,0.3331,0.2093,0.1185,0.1679,0.0494,0.1233,0.1088,-0.0145,0.1436,0.1257,-0.0179,0.1,0.0799,-0.0201,0.1151,0.2258,0.1107,0.0942
11427,37,0.1804,0.1248,-0.0556,0.163,0.1545,-0.0085,0.1294,0.3107,0.1813,0.0721,0.0063,-0.0658,0.1178,0.648,0.5302,0.1475,0.2317,0.0842,0.1091,0.1009,-0.0082,0.2242,0.1738,-0.0504,0.1278,0.1771,0.0493,0.1016,0.253,0.1514,0.0911
11427,39,0.1858,0.1482,-0.0376,0.1262,0.1246,-0.0016,0.1418,0.0639,-0.0779,0.1663,0.1774,0.0111,0.0969,0.3025,0.2056,0.1231,0.1778,0.0547,0.1157,0.0798,-0.0359,0.1162,0.093,-0.0232,0.0935,0.1215,0.028,0.0924,0.2008,0.1084,0.0861
11427,40,0.1505,0.1044,-0.0461,0.1303,0.1255,-0.0048,0.1447,0.1035,-0.0412,0.1093,0.1278,0.0185,0.0642,0.2854,0.2212,0.1241,0.1753,0.0512,0.1117,0.0975,-0.0142,0.1228,0.0587,-0.0641,0.1423,0.1713,0.029,0.0953,0.2142,0.1189,0.1056
11427,41,0.1872,0.1192,-0.068,0.1305,0.1369,0.0064,0.1138,0.0549,-0.0589,0.1568,0.1848,0.028,0.1048,0.3076,0.2028,0.1354,0.1935,0.0581,0.1344,0.1941,0.0597,0.1594,0.1679,0.0085,0.0942,0.1438,0.0496,0.0861,0.195,0.1089,0.0916
11427,42,0.1711,0.1633,-0.0078,0.1717,0.1492,-0.0225,0.1226,0.1117,-0.0109,0.1408,0.1466,0.0058,0.0739,0.2962,0.2223,0.1344,0.1777,0.0433,0.1122,0.089,-0.0232,0.1305,0.0996,-0.0309,0.112,0.1827,0.0707,0.0884,0.2126,0.1242,0.0987
11427,44,0.1603,0.1277,-0.0326,0.1494,0.17,0.0206,0.0845,0.0494,-0.0351,0.2117,0.2523,0.0406,0.1238,0.3239,0.2001,0.137,0.1943,0.0573,0.0977,0.0595,-0.0382,0.1259,0.1505,0.0246,0.127,0.1692,0.0422,0.0884,0.1991,0.1107,0.0932
11427,46,0.1655,0.1739,0.0084,0.1301,0.1256,-0.0045,0.1199,0.1534,0.0335,0.176,0.2085,0.0325,0.1151,0.2973,0.1822,0.1275,0.1906,0.0631,0.1167,0.0848,-0.0319,0.1631,0.1576,-0.0055,0.1106,0.1362,0.0256,0.1135,0.2258,0.1123,0.0892
11427,47,0.2257,0.1638,-0.0619,0.1341,0.1552,0.0211,0.1502,0.194,0.0438,0.1584,0.1399,-0.0185,0.0649,0.3018,0.2369,0.1386,0.1877,0.0491,0.1196,0.0827,-0.0369,0.1468,0.1399,-0.0069,0.0835,0.1294,0.0459,0.1219,0.2427,0.1208,0.0908
11427,48,0.1993,0.1815,-0.0178,0.1275,0.5107,0.3832,0.0977,0.1378,0.0401,0.1549,0.2164,0.0615,0.0905,0.3231,0.2326,0.1372,0.2032,0.066,0.1199,0.0265,-0.0934,0.1589,0.3587,0.1998,0.1307,0.1964,0.0657,0.0953,0.2298,0.1345,0.1135
11427,49,0.1863,0.173,-0.0133,0.1396,0.1359,-0.0037,0.1111,0.0942,-0.0169,0.1531,0.1658,0.0127,0.0932,0.3121,0.2189,0.1249,0.1835,0.0586,0.1365,0.1466,0.0101,0.1724,0.1439,-0.0285,0.0893,0.1418,0.0525,0.0744,0.1978,0.1234,0.0927
11427,50,0.1365,0.247,0.1105,0.1322,0.1821,0.0499,0.1256,0.1415,0.0159,0.1468,0.1537,0.0069,0.095,0.3089,0.2139,0.1399,0.1961,0.0562,0.1167,0.0748,-0.0419,0.1399,0.1386,-0.0013,0.1101,0.136,0.0259,0.108,0.2332,0.1252,0.0829
16577,1,0.0894,2.0157,1.9263,0.0778,0.3059,0.2281,0.0591,0.0913,0.0322,0.0322,0.9852,0.953,0.067,0.6584,0.5914,0.0881,0.4893,0.4012,0.0401,0.1196,0.0795,0.0457,0.0911,0.0454,0.0681,0.1657,0.0976,0.0894,0.2391,0.1497,0.1103
16577,2,0.0733,0.2286,0.1553,0.0683,0.2732,0.2049,0.0602,0.1314,0.0712,0.0446,0.6532,0.6086,0.0644,0.5202,0.4558,0.056,0.1987,0.1427,0.0433,0.1257,0.0824,0.0699,0.1269,0.057,0.0573,0.1768,0.1195,0.1058,0.3072,0.2014,0.1219
16577,3,0.0515,0.1759,0.1244,0.0628,0.5114,0.4486,0.0496,0.1596,0.11,0.0462,1.1233,1.0771,0.1016,0.6226,0.521,0.0752,0.2527,0.1775,0.0668,0.1494,0.0826,0.0863,0.1536,0.0673,0.0726,0.2364,0.1638,0.0997,0.2998,0.2001,0.0731
16577,4,0.0607,0.1635,0.1028,0.067,0.3964,0.3294,0.0451,0.1714,0.1263,0.0641,0.5672,0.5031,0.0707,0.4107,0.34,0.0544,0.1879,0.1335,0.0538,0.1359,0.0821,0.0699,0.1459,0.076,0.048,0.1424,0.0944,0.1021,0.2932,0.1911,0.0768
16577,5,0.0733,0.2093,0.136,0.0646,0.8745,0.8099,0.0731,0.162,0.0889,0.0628,0.4826,0.4198,0.0704,0.4004,0.33,0.0691,0.1693,0.1002,0.0723,0.1331,0.0608,0.0828,0.1319,0.0491,0.0639,0.2337,0.1698,0.1031,0.2607,0.1576,0.0762
16577,6,0.0773,0.5511,0.4738,0.0694,0.2538,0.1844,0.0702,0.1177,0.0475,0.0612,0.5604,0.4992,0.057,0.6154,0.5584,0.0969,0.2588,0.1619,0.0694,0.1212,0.0518,0.0857,0.1588,0.0731,0.0781,0.2545,0.1764,0.1261,0.3098,0.1837,0.0971
16577,7,0.0966,0.2099,0.1133,0.0657,0.2778,0.2121,0.0454,0.2522,0.2068,0.1103,0.624,0.5137,0.0623,0.4031,0.3408,0.0831,0.1781,0.095,0.0718,0.1787,0.1069,0.0259,0.0982,0.0723,0.0628,0.3835,0.3207,0.1166,0.3958,0.2792,0.0359
16577,8,0.1024,0.4219,0.3195,0.0554,0.2498,0.1944,0.0575,0.2303,0.1728,0.072,0.5105,0.4385,0.0536,0.3957,0.3421,0.0802,0.2105,0.1303,0.057,0.1185,0.0615,0.0691,0.1209,0.0518,0.0673,0.6627,0.5954,0.105,0.2542,0.1492,0.0915
16577,9,0.0757,0.2924,0.2167,0.0486,1.0926,1.044,0.0533,0.1586,0.1053,0.0454,0.5317,0.4863,0.0575,0.3782,0.3207,0.0683,0.1749,0.1066,0.0422,0.1219,0.0797,0.0704,0.0971,0.0267,0.0871,0.321,0.2339,0.1224,0.2676,0.1452,0.0863
16577,10,0.106,0.6083,0.5023,0.0628,0.1525,0.0897,0.0707,0.1274,0.0567,0.0636,0.6137,0.5501,0.0744,0.3796,0.3052,0.0823,0.1646,0.0823,0.076,0.1428,0.0668,0.0691,0.0858,0.0167,0.1095,0.3107,0.2012,0.1361,0.2729,0.1368,0.1113
16577,12,0.1047,0.1864,0.0817,0.0749,0.4357,0.3608,0.0873,0.2543,0.167,0.0781,0.6424,0.5643,0.0926,0.4843,0.3917,0.1182,0.6865,0.5683,0.0488,0.1391,0.0903,0.0628,0.1019,0.0391,0.1082,0.2641,0.1559,0.1079,0.2621,0.1542,0.1158
16577,13,0.1008,0.2307,0.1299,0.0393,0.5446,0.5053,0.0699,0.1955,0.1256,0.0831,0.528,0.4449,0.0733,0.3785,0.3052,0.0844,0.1796,0.0952,0.0931,0.1615,0.0684,0.0781,0.1422,0.0641,0.1089,0.2811,0.1722,0.0791,0.2507,0.1716,0.1013
16577,14,0.0973,0.1887,0.0914,0.0712,0.3307,0.2595,0.0628,0.2037,0.1409,0.0776,0.5834,0.5058,0.0733,0.4328,0.3595,0.0697,0.1678,0.0981,0.0726,0.1402,0.0676,0.0768,0.0935,0.0167,0.1095,0.2487,0.1392,0.0934,0.2557,0.1623,0.0839
16577,16,0.0947,0.8523,0.7576,0.0781,0.2303,0.1522,0.0486,0.1815,0.1329,0.0493,0.596,0.5467,0.0762,0.393,0.3168,0.0971,0.1907,0.0936,0.1042,0.1555,0.0513,0.0939,0.1275,0.0336,0.1042,0.2756,0.1714,0.0907,0.2383,0.1476,0.101
16577,17,0.1082,0.2049,0.0967,0.0712,0.4831,0.4119,0.096,0.2519,0.1559,0.0731,0.5966,0.5235,0.0799,0.4031,0.3232,0.0942,0.6512,0.557,0.0955,0.1652,0.0697,0.0976,0.1201,0.0225,0.0942,0.2221,0.1279,0.1016,0.241,0.1394,0.101
16577,18,0.0973,0.3156,0.2183,0.061,0.3606,0.2996,0.0844,0.1984,0.114,0.0942,0.7585,0.6643,0.0762,0.417,0.3408,0.1032,0.6027,0.4995,0.0802,0.1845,0.1043,0.1,0.1612,0.0612,0.106,0.2648,0.1588,0.1203,0.256,0.1357,0.1192
16577,19,0.1013,0.2072,0.1059,0.0697,0.4658,0.3961,0.1008,0.2646,0.1638,0.0849,0.6458,0.5609,0.1029,0.4073,0.3044,0.086,0.6446,0.5586,0.076,0.1861,0.1101,0.1082,0.1655,0.0573,0.1055,0.2418,0.1363,0.1161,0.2526,0.1365,0.1108
16577,20,0.1179,0.5519,0.434,0.0884,0.2422,0.1538,0.071,0.2598,0.1888,0.1045,0.6662,0.5617,0.0918,0.4018,0.31,0.1016,0.5774,0.4758,0.0755,0.1774,0.1019,0.0973,0.1419,0.0446,0.0813,0.2387,0.1574,0.1237,0.5263,0.4026,0.119
16577,21,0.0849,0.2135,0.1286,0.0786,0.3605,0.2819,0.1002,0.255,0.1548,0.0871,0.6815,0.5944,0.1016,0.4002,0.2986,0.1003,0.6367,0.5364,0.0878,0.2068,0.119,0.09,0.1589,0.0689,0.1084,0.2305,0.1221,0.1166,0.3006,0.184,0.1322
16577,22,0.077,0.2204,0.1434,0.0757,0.2809,0.2052,0.1002,0.2258,0.1256,0.0765,0.6216,0.5451,0.0915,0.3856,0.2941,0.0998,0.5078,0.408,0.0522,0.1538,0.1016,0.0905,0.1386,0.0481,0.0639,0.201,0.1371,0.1179,0.271,0.1531,0.1227
16577,23,0.0807,0.222,0.1413,0.0897,0.3155,0.2258,0.0889,0.163,0.0741,0.0578,0.6374,0.5796,0.1113,0.3891,0.2778,0.0971,0.5283,0.4312,0.0952,0.1486,0.0534,0.0718,0.1341,0.0623,0.1095,0.2271,0.1176,0.1053,0.2249,0.1196,0.1176
16577,24,0.0826,0.1804,0.0978,0.0892,0.4766,0.3874,0.0807,0.1846,0.1039,0.0596,0.5519,0.4923,0.09,0.3915,0.3015,0.0813,0.6008,0.5195,0.0849,0.1399,0.055,0.0615,0.1061,0.0446,0.0876,0.1926,0.105,0.1079,0.2444,0.1365,0.12
16577,26,0.1208,0.4646,0.3438,0.0578,0.2081,0.1503,0.0765,0.8078,0.7313,0.0567,1.8591,1.8024,0.0768,0.4234,0.3466,0.0852,0.359,0.2738,0.0852,0.1565,0.0713,0.0733,0.1222,0.0489,0.0913,0.2174,0.1261,0.0942,0.2175,0.1233,0.105
16577,27,0.0807,0.1798,0.0991,0.0507,0.2725,0.2218,0.0968,0.1825,0.0857,0.0536,0.5763,0.5227,0.0939,0.4136,0.3197,0.0721,0.4896,0.4175,0.0741,0.1607,0.0866,0.0984,0.1354,0.037,0.096,0.1915,0.0955,0.0926,0.227,0.1344,0.0973
16577,28,0.0892,0.1783,0.0891,0.0836,0.2608,0.1772,0.0926,0.1725,0.0799,0.0675,0.707,0.6395,0.1079,0.4529,0.345,0.0826,0.4732,0.3906,0.0686,0.1383,0.0697,0.0947,0.1264,0.0317,0.091,0.2099,0.1189,0.1039,0.267,0.1631,0.1108
16577,29,0.0855,0.2212,0.1357,0.0704,0.5498,0.4794,0.0894,0.1791,0.0897,0.101,0.924,0.823,0.1087,0.5078,0.3991,0.0884,0.4196,0.3312,0.052,0.1307,0.0787,0.0631,0.1259,0.0628,0.1076,0.225,0.1174,0.091,0.2162,0.1252,0.1166
16577,30,0.1158,0.2186,0.1028,0.0575,0.6981,0.6406,0.1005,0.1541,0.0536,0.0776,0.5707,0.4931,0.1105,0.44,0.3295,0.0713,0.5043,0.433,0.0849,0.1586,0.0737,0.0981,0.1282,0.0301,0.0936,0.2131,0.1195,0.1005,0.2449,0.1444,0.115
16577,31,0.1203,0.6977,0.5774,0.0773,0.2134,0.1361,0.0673,0.2633,0.196,0.0649,0.8568,0.7919,0.096,0.6863,0.5903,0.0879,0.2393,0.1514,0.0683,0.1499,0.0816,0.0828,0.1024,0.0196,0.1113,0.1767,0.0654,0.1124,0.2563,0.1439,0.1147
16577,32,0.0889,0.2072,0.1183,0.0855,0.272,0.1865,0.1008,0.2148,0.114,0.0551,0.7811,0.726,0.1147,0.4486,0.3339,0.0832,0.4838,0.4006,0.0995,0.1908,0.0913,0.0958,0.1431,0.0473,0.1053,0.1947,0.0894,0.1234,0.2562,0.1328,0.1277
16577,33,0.1053,0.1915,0.0862,0.0728,0.278,0.2052,0.1042,0.2023,0.0981,0.0596,0.6608,0.6012,0.0963,0.4076,0.3113,0.0897,0.5246,0.4349,0.0786,0.1396,0.061,0.0907,0.1232,0.0325,0.1066,0.1847,0.0781,0.1195,0.2304,0.1109,0.1145
16577,34,0.1053,0.2141,0.1088,0.0694,0.2408,0.1714,0.1045,0.1913,0.0868,0.0673,0.6859,0.6186,0.1002,0.4011,0.3009,0.1008,0.5148,0.414,0.0807,0.1475,0.0668,0.0944,0.1272,0.0328,0.1079,0.1831,0.0752,0.1126,0.2449,0.1323,0.1232
16577,35,0.1074,0.226,0.1186,0.0897,0.3205,0.2308,0.1,0.1828,0.0828,0.0749,0.6862,0.6113,0.0987,0.3965,0.2978,0.0831,0.4958,0.4127,0.0623,0.1273,0.065,0.0789,0.1235,0.0446,0.1169,0.157,0.0401,0.1169,0.2463,0.1294,0.1163
16577,36,0.1176,0.1964,0.0788,0.0802,0.7395,0.6593,0.0942,0.1459,0.0517,0.0749,0.5646,0.4897,0.0842,0.4055,0.3213,0.0737,0.4458,0.3721,0.1203,0.2072,0.0869,0.0892,0.156,0.0668,0.1063,0.1735,0.0672,0.1105,0.2146,0.1041,0.1224
16577,37,0.086,0.3441,0.2581,0.076,0.3157,0.2397,0.0842,0.1483,0.0641,0.0557,0.5955,0.5398,0.105,0.426,0.321,0.0916,0.8448,0.7532,0.1095,0.1739,0.0644,0.0921,0.1235,0.0314,0.1147,0.1933,0.0786,0.1087,0.2217,0.113,0.1016
16577,38,0.1058,0.1835,0.0777,0.0741,0.4082,0.3341,0.096,0.191,0.095,0.0915,0.5772,0.4857,0.0839,0.5911,0.5072,0.0997,0.4595,0.3598,0.0794,0.1386,0.0592,0.0852,0.062,-0.0232,0.1457,0.1319,-0.0138,0.1269,0.237,0.1101,0.0981
16577,39,0.0968,0.1761,0.0793,0.081,0.3041,0.2231,0.0855,0.1509,0.0654,0.0625,0.4915,0.429,0.0934,0.3812,0.2878,0.1045,0.3131,0.2086,0.071,0.1278,0.0568,0.0689,0.0869,0.018,0.153,0.1295,-0.0235,0.1198,0.2328,0.113,0.1242
16577,40,0.1108,0.2104,0.0996,0.0773,0.427,0.3497,0.0813,0.1494,0.0681,0.067,0.5881,0.5211,0.0805,0.4369,0.3564,0.0937,0.306,0.2123,0.0934,0.1188,0.0254,0.0868,0.1225,0.0357,0.148,0.1458,-0.0022,0.1356,0.2407,0.1051,0.1287
16577,41,0.1448,0.2863,0.1415,0.1087,0.3719,0.2632,0.0926,0.2778,0.1852,0.0522,1.1856,1.1334,0.0802,0.4566,0.3764,0.0913,0.2224,0.1311,0.0873,0.151,0.0637,0.0758,0.0721,-0.0037,0.1327,0.1778,0.0451,0.1398,0.2323,0.0925,0.1221
16577,42,0.0826,0.3887,0.3061,0.0892,0.3656,0.2764,0.0892,0.1185,0.0293,0.0578,0.6928,0.635,0.0995,0.3971,0.2976,0.0987,0.3999,0.3012,0.1082,0.1494,0.0412,0.0773,0.1201,0.0428,0.1554,0.1636,0.0082,0.1316,0.2328,0.1012,0.1111
16577,43,0.1303,0.5007,0.3704,0.061,0.1581,0.0971,0.0834,0.133,0.0496,0.0525,0.5475,0.495,0.0834,0.3672,0.2838,0.084,0.208,0.124,0.0805,0.1273,0.0468,0.0786,0.0963,0.0177,0.1216,0.1791,0.0575,0.1459,0.472,0.3261,0.124
16577,44,0.0936,0.2628,0.1692,0.0591,0.3809,0.3218,0.1179,0.2171,0.0992,0.0575,0.6113,0.5538,0.0868,0.386,0.2992,0.0842,0.185,0.1008,0.1195,0.176,0.0565,0.1266,0.5417,0.4151,0.1187,0.2184,0.0997,0.1248,0.3293,0.2045,0.1187
16577,45,0.0929,0.1559,0.063,0.0654,0.2316,0.1662,0.1047,0.244,0.1393,0.0588,0.6295,0.5707,0.0818,0.411,0.3292,0.095,0.1971,0.1021,0.1319,0.2538,0.1219,0.1161,0.4534,0.3373,0.119,0.225,0.106,0.1343,0.3064,0.1721,0.1103
16577,46,0.1253,0.2579,0.1326,0.0538,0.1896,0.1358,0.0926,0.2495,0.1569,0.0641,0.5926,0.5285,0.0855,0.4669,0.3814,0.0966,0.2541,0.1575,0.0749,0.1496,0.0747,0.1153,0.1283,0.013,0.1245,0.1709,0.0464,0.1324,0.4901,0.3577,0.1248
16577,47,0.0723,0.1682,0.0959,0.0731,0.7635,0.6904,0.1016,0.2483,0.1467,0.0554,0.8346,0.7792,0.0699,0.9186,0.8487,0.0752,0.1899,0.1147,0.0834,0.1534,0.07,0.0768,0.079,0.0022,0.1253,0.1163,-0.009,0.1456,0.3101,0.1645,0.1271
16577,48,0.1118,0.1816,0.0698,0.0586,0.2369,0.1783,0.0966,0.228,0.1314,0.0551,0.5654,0.5103,0.0952,0.3679,0.2727,0.0956,0.7298,0.6342,0.1137,0.1987,0.085,0.1132,0.2122,0.099,0.1097,0.298,0.1883,0.1409,0.2916,0.1507,0.1184
16577,49,0.0881,0.3647,0.2766,0.0844,0.2698,0.1854,0.1145,0.1931,0.0786,0.0628,0.601,0.5382,0.1029,0.3888,0.2859,0.1058,0.186,0.0802,0.1198,0.1674,0.0476,0.1034,0.1169,0.0135,0.1042,0.244,0.1398,0.1253,0.2605,0.1352,0.11
16577,50,0.1031,0.17,0.0669,0.077,0.2271,0.1501,0.0955,0.1849,0.0894,0.0596,0.7647,0.7051,0.0712,0.3998,0.3286,0.1032,0.1992,0.096,0.1024,0.1726,0.0702,0.0836,0.1267,0.0431,0.1084,0.3428,0.2344,0.1374,0.3116,0.1742,0.1166
37416,1,0.0863,0.1931,0.1068,0.0462,0.1006,0.0544,0.0647,0.1083,0.0436,0.0636,0.8257,0.7621,0.0549,0.4004,0.3455,0.0863,0.2484,0.1621,0.0697,0.1173,0.0476,0.0971,0.1457,0.0486,0.0876,0.1942,0.1066,0.0665,0.2757,0.2092,0.0623
37416,2,0.0668,0.2528,0.186,0.057,0.1222,0.0652,0.0718,0.1645,0.0927,0.0927,1.1313,1.0386,0.0694,0.4717,0.4023,0.0837,0.2677,0.184,0.0507,0.1215,0.0708,0.0829,0.1439,0.061,0.0744,0.1889,0.1145,0.0884,0.3651,0.2767,0.0636
