"","subject","sessionIndex","rep","H.period","DD.period.t","UD.period.t","H.t","DD.t.i","UD.t.i","H.i","DD.i.e","UD.i.e","H.e","DD.e.five","UD.e.five","H.five","DD.five.Shift.r","UD.five.Shift.r","H.Shift.r","DD.Shift.r.o","UD.Shift.r.o","H.o","DD.o.a","UD.o.a","H.a","DD.a.n","UD.a.n","H.n","DD.n.l","UD.n.l","H.l","DD.l.Return","UD.l.Return","H.Return"
"361","s002",8,11,0.1481,0.3963,0.2482,0.1053,0.1642,0.0589,0.1106,0.1629,0.0523,0.0919,0.5569,0.465,0.1119,0.4832,0.3713,0.1428,0.1745,0.0317,0.1183,0.1656,0.0473,0.1373,0.1225,-0.0148,0.1194,0.1859,0.0665,0.1499,0.2704,0.1205,0.1077
"362","s002",8,12,0.1417,0.1957,0.054,0.094,0.1389,0.0449,0.1006,0.132,0.0314,0.0934,0.2512,0.1578,0.1019,0.4918,0.3899,0.142,0.1901,0.0481,0.1088,0.1699,0.0611,0.1315,0.0521,-0.0794,0.1243,0.2647,0.1404,0.1185,0.2517,0.1332,0.094
"363","s002",8,13,0.133,0.1638,0.0308,0.0977,0.1648,0.0671,0.1177,0.1243,0.0066,0.1088,0.3437,0.2349,0.1454,0.4469,0.3015,0.1391,0.1827,0.0436,0.1219,0.164,0.0421,0.1429,0.1009,-0.042,0.102,0.2804,0.1784,0.1127,0.2451,0.1324,0.1027
"364","s002",8,14,0.1824,0.3375,0.1551,0.1214,0.2056,0.0842,0.0974,0.1141,0.0167,0.0781,0.3137,0.2356,0.1314,0.4922,0.3608,0.1495,0.1801,0.0306,0.1198,0.2154,0.0956,0.1636,0.1758,0.0122,0.1206,0.2903,0.1697,0.1024,0.3108,0.2084,0.1143
"365","s002",8,15,0.1402,0.2188,0.0786,0.0739,0.1684,0.0945,0.1014,0.1415,0.0401,0.0826,0.3486,0.266,0.1272,0.5094,0.3822,0.1233,0.1822,0.0589,0.118,0.1582,0.0402,0.0979,0.1344,0.0365,0.1156,0.3291,0.2135,0.1518,0.2884,0.1366,0.1206
"366","s002",8,16,0.1787,0.2491,0.0704,0.1122,0.1566,0.0444,0.1219,0.3858,0.2639,0.1462,0.547,0.4008,0.137,0.6372,0.5002,0.1388,0.2394,0.1006,0.114,0.1191,0.0051,0.151,0.1193,-0.0317,0.0967,0.1854,0.0887,0.1309,0.2279,0.097,0.1436
"367","s002",8,17,0.1676,0.2327,0.0651,0.1584,0.1555,-0.0029,0.1254,0.1555,0.0301,0.1344,0.35,0.2156,0.1085,0.6485,0.54,0.1455,0.1637,0.0182,0.1222,0.1666,0.0444,0.123,0.1156,-0.0074,0.1154,0.1547,0.0393,0.1254,0.4623,0.3369,0.1188
"368","s002",8,18,0.175,0.2034,0.0284,0.1227,0.1737,0.051,0.1301,0.146,0.0159,0.1159,0.3732,0.2573,0.1151,0.5741,0.459,0.155,0.1912,0.0362,0.1143,0.183,0.0687,0.1185,0.1196,0.0011,0.0895,0.2423,0.1528,0.1243,0.4899,0.3656,0.1206
"369","s002",8,19,0.1665,0.2393,0.0728,0.1148,0.1478,0.033,0.1043,0.1526,0.0483,0.0879,0.299,0.2111,0.1175,0.4493,0.3318,0.1433,0.1964,0.0531,0.1317,0.1619,0.0302,0.1549,0.1296,-0.0253,0.0934,0.2056,0.1122,0.1433,0.287,0.1437,0.1373
"370","s002",8,20,0.1504,0.1955,0.0451,0.1051,0.173,0.0679,0.0956,0.1001,0.0045,0.1177,0.3006,0.1829,0.1547,0.4409,0.2862,0.1453,0.1381,-0.0072,0.1186,0.195,0.0764,0.1264,0.1679,0.0415,0.0953,0.2486,0.1533,0.1367,0.3717,0.235,0.1154
"371","s002",8,21,0.1597,0.2005,0.0408,0.076,0.1753,0.0993,0.0908,0.0927,0.0019,0.0805,0.2351,0.1546,0.0734,0.4548,0.3814,0.1296,0.2096,0.08,0.0961,0.1265,0.0304,0.1351,0.1555,0.0204,0.0776,0.1866,0.109,0.119,0.221,0.102,0.1647
"372","s002",8,22,0.1433,0.1271,-0.0162,0.0937,0.1877,0.094,0.0977,0.0934,-0.0043,0.1479,0.5263,0.3784,0.1259,0.4841,0.3582,0.1312,0.15,0.0188,0.1249,0.1947,0.0698,0.1618,0.1547,-0.0071,0.1035,0.1349,0.0314,0.1349,0.2351,0.1002,0.1077
"373","s002",8,23,0.1526,0.1546,0.002,0.1193,0.1695,0.0502,0.1101,0.1838,0.0737,0.1357,0.331,0.1953,0.1365,0.4659,0.3294,0.1219,0.1251,0.0032,0.1201,0.1582,0.0381,0.1299,0.1236,-0.0063,0.076,0.199,0.123,0.1438,0.4516,0.3078,0.0196
"374","s002",8,24,0.1679,0.2056,0.0377,0.1006,0.1371,0.0365,0.1256,0.1438,0.0182,0.095,0.3689,0.2739,0.0365,0.7008,0.6643,0.1219,0.1753,0.0534,0.0613,0.3554,0.2941,0.1441,0.1349,-0.0092,0.0958,0.1932,0.0974,0.132,0.247,0.115,0.1198
"375","s002",8,25,0.1636,0.3224,0.1588,0.1119,0.2085,0.0966,0.1167,0.1394,0.0227,0.0958,0.2649,0.1691,0.1497,0.4514,0.3017,0.127,0.1547,0.0277,0.1014,0.1337,0.0323,0.122,0.1001,-0.0219,0.0924,0.1863,0.0939,0.1206,0.2493,0.1287,0.1204
"376","s002",8,26,0.1307,0.1436,0.0129,0.1088,0.1537,0.0449,0.1135,0.1481,0.0346,0.1328,0.3302,0.1974,0.1059,0.5947,0.4888,0.1497,0.1777,0.028,0.1217,0.1492,0.0275,0.1215,0.1083,-0.0132,0.1183,0.1819,0.0636,0.161,0.2195,0.0585,0.1533
"377","s002",8,27,0.157,0.1865,0.0295,0.1204,0.1555,0.0351,0.1299,0.1455,0.0156,0.0932,0.2924,0.1992,0.142,0.4142,0.2722,0.1383,0.1143,-0.024,0.1378,0.1888,0.051,0.1357,0.1048,-0.0309,0.1244,0.1555,0.0311,0.1576,0.277,0.1194,0.1314
"378","s002",8,28,0.1283,0.1818,0.0535,0.1177,0.166,0.0483,0.1074,0.0839,-0.0235,0.1209,0.327,0.2061,0.1122,0.4989,0.3867,0.1415,0.1566,0.0151,0.127,0.1696,0.0426,0.1225,0.1164,-0.0061,0.1136,0.2421,0.1285,0.1552,0.2382,0.083,0.1293
"379","s002",8,29,0.1383,0.1469,0.0086,0.1016,0.1594,0.0578,0.1111,0.1491,0.038,0.1217,0.3141,0.1924,0.1362,0.4263,0.2901,0.161,0.1745,0.0135,0.1314,0.1698,0.0384,0.1492,0.1418,-0.0074,0.099,0.1386,0.0396,0.1444,0.2955,0.1511,0.1423
"380","s002",8,30,0.1454,0.1894,0.044,0.1066,0.1465,0.0399,0.1281,0.1109,-0.0172,0.137,0.2283,0.0913,0.1214,0.4674,0.346,0.138,0.1578,0.0198,0.1193,0.1392,0.0199,0.1285,0.147,0.0185,0.0998,0.1903,0.0905,0.1143,0.2147,0.1004,0.1148
"382","s002",8,32,0.1544,0.1876,0.0332,0.1404,0.1642,0.0238,0.1399,0.128,-0.0119,0.1317,0.2869,0.1552,0.171,0.4727,0.3017,0.1811,0.5464,0.3653,0.1446,0.1458,0.0012,0.1563,0.1151,-0.0412,0.1186,0.2186,0.1,0.1259,0.23,0.1041,0.1075
"383","s002",8,33,0.1648,0.1509,-0.0139,0.1228,0.1321,0.0093,0.1433,0.1404,-0.0029,0.1407,0.3183,0.1776,0.1048,0.5171,0.4123,0.1053,0.2594,0.1541,0.132,0.1334,0.0014,0.1486,0.1349,-0.0137,0.1008,0.2367,0.1359,0.0486,0.153,0.1044,0.1022
"384","s002",8,34,0.2093,0.1815,-0.0278,0.1074,0.1457,0.0383,0.1172,0.1151,-0.0021,0.0934,0.2388,0.1454,0.1117,0.6773,0.5656,0.1494,0.2935,0.1441,0.1491,0.1642,0.0151,0.1576,0.1394,-0.0182,0.127,0.2392,0.1122,0.1658,0.2784,0.1126,0.1035
"385","s002",8,35,0.1755,0.1926,0.0171,0.1006,0.1838,0.0832,0.0969,0.1233,0.0264,0.127,0.3864,0.2594,0.1375,0.5221,0.3846,0.1341,0.2273,0.0932,0.099,0.1062,0.0072,0.1578,0.1663,0.0085,0.08,0.2167,0.1367,0.1188,0.2211,0.1023,0.1293
"386","s002",8,36,0.1412,0.1498,0.0086,0.1354,0.1565,0.0211,0.1167,0.1143,-0.0024,0.1397,0.1967,0.057,0.1512,0.5537,0.4025,0.1386,0.1872,0.0486,0.0963,0.0874,-0.0089,0.1874,0.1346,-0.0528,0.0935,0.241,0.1475,0.1251,0.2749,0.1498,0.1161
"387","s002",8,37,0.1483,0.1733,0.025,0.1072,0.1634,0.0562,0.0966,0.1016,0.005,0.1288,0.6423,0.5135,0.1109,0.4058,0.2949,0.1576,0.2017,0.0441,0.0565,0.0912,0.0347,0.1074,0.4476,0.3402,0.1423,0.2742,0.1319,0.1911,0.3752,0.1841,0.1151
"388","s002",8,38,0.1531,0.1752,0.0221,0.0839,0.1309,0.047,0.0924,0.1331,0.0407,0.1251,0.5579,0.4328,0.1721,0.6306,0.4585,0.1351,0.1898,0.0547,0.1088,0.1648,0.056,0.2056,0.2236,0.018,0.1396,0.2061,0.0665,0.1409,0.2532,0.1123,0.1138
"389","s002",8,39,0.1198,0.1519,0.0321,0.1072,0.2181,0.1109,0.0555,0.0917,0.0362,0.109,0.6455,0.5365,0.1225,0.5031,0.3806,0.1446,0.2763,0.1317,0.1539,0.3532,0.1993,0.154,0.1302,-0.0238,0.0943,0.2249,0.1306,0.1098,0.2176,0.1078,0.113
"390","s002",8,40,0.1362,0.1989,0.0627,0.1196,0.1553,0.0357,0.1212,0.1305,0.0093,0.1127,0.3233,0.2106,0.1391,0.4923,0.3532,0.1548,0.2897,0.1349,0.1462,0.2144,0.0682,0.147,0.1542,0.0072,0.1072,0.1898,0.0826,0.1399,0.2562,0.1163,0.1146
"391","s002",8,41,0.1557,0.2169,0.0612,0.1214,0.1827,0.0613,0.1138,0.1029,-0.0109,0.1099,0.2883,0.1784,0.1518,0.5234,0.3716,0.1381,0.1561,0.018,0.1309,0.1677,0.0368,0.1333,0.123,-0.0103,0.113,0.241,0.128,0.1267,0.2881,0.1614,0.127
"392","s002",8,42,0.1528,0.1654,0.0126,0.127,0.1547,0.0277,0.1264,0.1304,0.004,0.1154,0.2748,0.1594,0.1563,0.5475,0.3912,0.1689,0.1824,0.0135,0.1431,0.183,0.0399,0.147,0.0977,-0.0493,0.1644,0.2444,0.08,0.161,0.3688,0.2078,0.2027
"394","s002",8,44,0.1536,0.2103,0.0567,0.1307,0.1862,0.0555,0.1196,0.1381,0.0185,0.1618,0.2557,0.0939,0.1449,0.5308,0.3859,0.1653,0.1775,0.0122,0.1489,0.1836,0.0347,0.1613,0.1573,-0.004,0.1125,0.2273,0.1148,0.1173,0.3241,0.2068,0.0977
"395","s002",8,45,0.1552,0.2024,0.0472,0.1154,0.1101,-0.0053,0.1357,0.1898,0.0541,0.1391,0.2684,0.1293,0.1673,0.502,0.3347,0.1571,0.2469,0.0898,0.1267,0.1582,0.0315,0.1645,0.1521,-0.0124,0.1003,0.2043,0.104,0.1285,0.2849,0.1564,0.0768
"396","s002",8,46,0.1502,0.2114,0.0612,0.065,0.1302,0.0652,0.0985,0.1249,0.0264,0.0908,0.238,0.1472,0.108,0.5008,0.3928,0.1003,0.2112,0.1109,0.1217,0.1379,0.0162,0.1212,0.1587,0.0375,0.0845,0.199,0.1145,0.1061,0.2971,0.191,0.1014
"398","s002",8,48,0.1642,0.175,0.0108,0.085,0.1196,0.0346,0.1222,0.1357,0.0135,0.0863,0.2502,0.1639,0.1378,0.5221,0.3843,0.1539,0.1687,0.0148,0.1349,0.1624,0.0275,0.1552,0.165,0.0098,0.1526,0.4674,0.3148,0.1051,0.3048,0.1997,0.1259
"399","s002",8,49,0.1623,0.2126,0.0503,0.0871,0.1966,0.1095,0.1444,0.2115,0.0671,0.1175,0.4349,0.3174,0.1642,0.5582,0.394,0.1466,0.1633,0.0167,0.1209,0.1577,0.0368,0.1225,0.1191,-0.0034,0.1122,0.1758,0.0636,0.1539,0.314,0.1601,0.1154
"400","s002",8,50,0.1792,0.1889,0.0097,0.1212,0.1656,0.0444,0.1425,0.1518,0.0093,0.0998,0.4866,0.3868,0.1072,0.6834,0.5762,0.0407,0.5002,0.4595,0.1338,0.1809,0.0471,0.1547,0.2426,0.0879,0.0995,0.2246,0.1251,0.1399,0.5261,0.3862,0.108
"752","s003",8,2,0.2181,0.1575,-0.0606,0.1786,0.0999,-0.0787,0.1531,0.1545,0.0014,0.1494,0.3149,0.1655,0.0797,1.185,1.1053,0.1492,0.2136,0.0644,0.1763,0.1199,-0.0564,0.1552,0.16,0.0048,0.1322,0.1528,0.0206,0.1198,0.24,0.1202,0.1074
"755","s003",8,5,0.2352,0.2184,-0.0168,0.1601,0.1426,-0.0175,0.1582,0.1191,-0.0391,0.2196,0.2457,0.0261,0.0824,0.3458,0.2634,0.1415,0.2397,0.0982,0.1803,0.1233,-0.057,0.1696,0.1363,-0.0333,0.126,0.1711,0.0451,0.156,0.2733,0.1173,0.1309
"756","s003",8,6,0.2167,0.1696,-0.0471,0.1486,0.2101,0.0615,0.1386,0.1803,0.0417,0.2011,0.2483,0.0472,0.0882,0.3247,0.2365,0.1285,0.2235,0.095,0.1742,0.1378,-0.0364,0.1655,0.1175,-0.048,0.1428,0.5898,0.447,0.147,0.2799,0.1329,0.1167
"757","s003",8,7,0.2141,0.2068,-0.0073,0.1704,0.1685,-0.0019,0.1523,0.1555,0.0032,0.2453,0.1494,-0.0959,0.1131,0.3232,0.2101,0.1526,0.222,0.0694,0.1848,0.1479,-0.0369,0.1672,0.1157,-0.0515,0.1249,0.1294,0.0045,0.133,0.2564,0.1234,0.1164
"758","s003",8,8,0.2138,0.1274,-0.0864,0.1537,0.1502,-0.0035,0.15,0.0629,-0.0871,0.2431,0.1879,-0.0552,0.1259,0.3308,0.2049,0.1365,0.2294,0.0929,0.1692,0.0956,-0.0736,0.1671,0.1505,-0.0166,0.1262,0.1492,0.023,0.1299,0.2377,0.1078,0.1114
"760","s003",8,10,0.2091,0.1287,-0.0804,0.1394,0.1896,0.0502,0.1394,0.1177,-0.0217,0.2746,0.1719,-0.1027,0.1082,0.3305,0.2223,0.1476,0.2149,0.0673,0.164,0.159,-0.005,0.1532,0.1239,-0.0293,0.113,0.1283,0.0153,0.1365,0.2765,0.14,0.119
"761","s003",8,11,0.2215,0.1182,-0.1033,0.1564,0.1199,-0.0365,0.149,0.079,-0.07,0.2444,0.1383,-0.1061,0.1227,0.3189,0.1962,0.161,0.2175,0.0565,0.1858,0.1302,-0.0556,0.1542,0.1196,-0.0346,0.1141,0.1342,0.0201,0.1193,0.2427,0.1234,0.113
"762","s003",8,12,0.2359,0.1094,-0.1265,0.1346,0.1563,0.0217,0.1408,0.013,-0.1278,0.2427,0.2099,-0.0328,0.1109,0.3788,0.2679,0.1776,0.321,0.1434,0.1401,0.1188,-0.0213,0.1761,0.1386,-0.0375,0.103,0.1157,0.0127,0.1341,0.2367,0.1026,0.1027
"763","s003",8,13,0.1793,0.1182,-0.0611,0.1413,0.24,0.0987,0.0573,0.1763,0.119,0.2724,0.2499,-0.0225,0.0748,0.3005,0.2257,0.1587,0.2155,0.0568,0.1764,0.1215,-0.0549,0.1598,0.121,-0.0388,0.1096,0.1473,0.0377,0.1533,0.2532,0.0999,0.1367
"766","s003",8,16,0.2109,0.116,-0.0949,0.1584,0.1677,0.0093,0.1098,0.0499,-0.0599,0.2431,0.2214,-0.0217,0.0866,0.3181,0.2315,0.1312,0.2349,0.1037,0.1463,0.1239,-0.0224,0.1502,0.0985,-0.0517,0.1109,0.1383,0.0274,0.1497,0.2942,0.1445,0.1045
"767","s003",8,17,0.2035,0.1076,-0.0959,0.1589,0.2764,0.1175,0.0797,0.099,0.0193,0.2565,0.1575,-0.099,0.1122,0.3337,0.2215,0.1697,0.265,0.0953,0.1595,0.1368,-0.0227,0.1603,0.1625,0.0022,0.0642,0.0843,0.0201,0.1196,0.6676,0.548,0.1288
"768","s003",8,18,0.217,0.1509,-0.0661,0.1355,0.1133,-0.0222,0.1753,0.0771,-0.0982,0.2239,0.1423,-0.0816,0.0869,0.2937,0.2068,0.1701,0.2606,0.0905,0.1855,0.1967,0.0112,0.1689,0.1106,-0.0583,0.1185,0.1816,0.0631,0.1246,0.605,0.4804,0.1254
"769","s003",8,19,0.0713,0.4758,0.4045,0.1555,0.2117,0.0562,0.1404,0.27,0.1296,0.1579,0.1143,-0.0436,0.0956,0.2962,0.2006,0.1438,0.2182,0.0744,0.1534,0.1099,-0.0435,0.1516,0.1199,-0.0317,0.0893,0.1025,0.0132,0.1431,0.2676,0.1245,0.0993
"770","s003",8,20,0.1942,0.1226,-0.0716,0.1631,0.1845,0.0214,0.1241,0.0481,-0.076,0.2077,0.1673,-0.0404,0.081,0.3139,0.2329,0.1233,0.2075,0.0842,0.1352,0.1297,-0.0055,0.1484,0.0919,-0.0565,0.103,0.1384,0.0354,0.1307,0.2475,0.1168,0.1093
"772","s003",8,22,0.2405,0.0635,-0.177,0.1589,0.1785,0.0196,0.1703,0.0441,-0.1262,0.2241,0.8395,0.6154,0.1296,0.392,0.2624,0.1874,0.25,0.0626,0.121,0.0603,-0.0607,0.1621,0.1608,-0.0013,0.1302,0.1114,-0.0188,0.1489,0.2578,0.1089,0.1254
"773","s003",8,23,0.213,0.1015,-0.1115,0.1447,0.1635,0.0188,0.1394,0.019,-0.1204,0.244,0.1703,-0.0737,0.0932,0.2851,0.1919,0.1613,0.2088,0.0475,0.1434,0.0988,-0.0446,0.1424,0.1271,-0.0153,0.0676,0.0716,0.004,0.1301,0.244,0.1139,0.1082
"774","s003",8,24,0.2363,0.1179,-0.1184,0.1716,0.1526,-0.019,0.1576,0.0639,-0.0937,0.2674,0.2074,-0.06,0.0803,0.3055,0.2252,0.1474,0.2456,0.0982,0.1486,0.1141,-0.0345,0.1642,0.1568,-0.0074,0.075,0.0845,0.0095,0.109,0.2728,0.1638,0.1093
"775","s003",8,25,0.2162,0.1145,-0.1017,0.1713,0.1568,-0.0145,0.1586,0.071,-0.0876,0.2122,0.1588,-0.0534,0.1035,0.3678,0.2643,0.1434,0.2242,0.0808,0.1109,0.0962,-0.0147,0.1436,0.3801,0.2365,0.1597,0.2098,0.0501,0.1066,0.316,0.2094,0.1098
"778","s003",8,28,0.1684,0.1747,0.0063,0.1692,0.1803,0.0111,0.0934,0.0153,-0.0781,0.266,0.1818,-0.0842,0.1415,0.3464,0.2049,0.1278,0.1901,0.0623,0.151,0.1397,-0.0113,0.1716,0.1033,-0.0683,0.0897,0.1058,0.0161,0.1132,0.2205,0.1073,0.1154
"780","s003",8,30,0.152,0.172,0.02,0.2046,0.1642,-0.0404,0.1626,0.0932,-0.0694,0.2729,0.1657,-0.1072,0.0924,0.3086,0.2162,0.1273,0.1696,0.0423,0.1275,0.13,0.0025,0.1568,0.0887,-0.0681,0.0903,0.0924,0.0021,0.1301,0.234,0.1039,0.118
"785","s003",8,35,0.2098,0.1089,-0.1009,0.1682,0.1259,-0.0423,0.1804,0.069,-0.1114,0.263,0.1373,-0.1257,0.1111,0.3066,0.1955,0.1602,0.1787,0.0185,0.1452,0.1225,-0.0227,0.1543,0.0767,-0.0776,0.1014,0.1299,0.0285,0.1225,0.2208,0.0983,0.1156
"786","s003",8,36,0.2437,0.1348,-0.1089,0.1683,0.1292,-0.0391,0.188,0.06,-0.128,0.2935,0.1797,-0.1138,0.1127,0.3355,0.2228,0.1626,0.1684,0.0058,0.1531,0.1497,-0.0034,0.222,0.0589,-0.1631,0.1217,0.1824,0.0607,0.1185,0.2203,0.1018,0.1029
"788","s003",8,38,0.1951,0.1021,-0.093,0.1328,0.1206,-0.0122,0.145,0.0531,-0.0919,0.2648,0.1457,-0.1191,0.1204,0.3248,0.2044,0.1695,0.1817,0.0122,0.1307,0.1474,0.0167,0.1444,0.0755,-0.0689,0.1035,0.1024,-0.0011,0.1127,0.2498,0.1371,0.0985
"790","s003",8,40,0.1412,0.353,0.2118,0.1615,0.2019,0.0404,0.1296,0.1687,0.0391,0.2135,0.233,0.0195,0.0726,0.3329,0.2603,0.1589,0.245,0.0861,0.1421,0.1244,-0.0177,0.1857,0.1118,-0.0739,0.132,0.1428,0.0108,0.1106,0.2477,0.1371,0.108
"792","s003",8,42,0.171,0.2704,0.0994,0.195,0.5566,0.3616,0.1504,0.2578,0.1074,0.2494,0.2322,-0.0172,0.133,0.526,0.393,0.1872,0.2403,0.0531,0.1378,0.1033,-0.0345,0.1634,0.1085,-0.0549,0.107,0.1154,0.0084,0.1249,0.5937,0.4688,0.1106
"793","s003",8,43,0.1803,0.1754,-0.0049,0.1698,0.131,-0.0388,0.1492,0.0808,-0.0684,0.3154,0.2122,-0.1032,0.1156,0.3226,0.207,0.1582,0.2073,0.0491,0.1624,0.1107,-0.0517,0.1608,0.1489,-0.0119,0.0827,0.0671,-0.0156,0.1383,0.372,0.2337,0.1154
"794","s003",8,44,0.2492,0.1815,-0.0677,0.1555,0.1962,0.0407,0.133,0.2085,0.0755,0.2516,0.1974,-0.0542,0.0977,0.3044,0.2067,0.1587,0.1688,0.0101,0.1467,0.1349,-0.0118,0.1497,0.1175,-0.0322,0.0833,0.0795,-0.0038,0.117,0.2422,0.1252,0.1024
"795","s003",8,45,0.1681,0.3361,0.168,0.1687,0.1922,0.0235,0.1592,0.2674,0.1082,0.235,0.1961,-0.0389,0.0832,0.2907,0.2075,0.1545,0.1799,0.0254,0.1587,0.0885,-0.0702,0.1893,0.14,-0.0493,0.093,0.0892,-0.0038,0.1307,0.238,0.1073,0.1032
"796","s003",8,46,0.141,0.1335,-0.0075,0.1882,0.1901,0.0019,0.1434,0.142,-0.0014,0.2738,0.1946,-0.0792,0.0921,0.2748,0.1827,0.1465,0.1906,0.0441,0.1413,0.0835,-0.0578,0.1431,0.1442,0.0011,0.1436,0.1534,0.0098,0.1394,0.2446,0.1052,0.1093
"797","s003",8,47,0.1481,0.1961,0.048,0.1996,0.1713,-0.0283,0.1428,0.1217,-0.0211,0.2803,0.1752,-0.1051,0.099,0.326,0.227,0.1663,0.183,0.0167,0.1331,0.126,-0.0071,0.1653,0.1012,-0.0641,0.1201,0.1235,0.0034,0.1172,0.23,0.1128,0.1051
"798","s003",8,48,0.1526,0.1932,0.0406,0.1745,0.1462,-0.0283,0.1432,0.0772,-0.066,0.297,0.1919,-0.1051,0.1008,0.3057,0.2049,0.1452,0.1972,0.052,0.137,0.1099,-0.0271,0.1491,0.1526,0.0035,0.1312,0.1819,0.0507,0.1314,0.258,0.1266,0.0932
"800","s003",8,50,0.1589,0.1604,0.0015,0.1898,0.152,-0.0378,0.1237,0.0756,-0.0481,0.2554,0.1413,-0.1141,0.1119,0.3126,0.2007,0.1653,0.2036,0.0383,0.1259,0.1122,-0.0137,0.1569,0.1107,-0.0462,0.0864,0.1072,0.0208,0.1222,0.243,0.1208,0.0929
"1151","s004",8,1,0.0985,0.1512,0.0527,0.0985,0.1355,0.037,0.09,0.0974,0.0074,0.0401,0.2599,0.2198,0.066,0.3622,0.2962,0.1094,0.1654,0.056,0.0943,0.0819,-0.0124,0.1305,0.1202,-0.0103,0.075,0.1201,0.0451,0.0797,0.1881,0.1084,0.0779
"1154","s004",8,4,0.0942,0.248,0.1538,0.0784,0.1249,0.0465,0.1032,0.1209,0.0177,0.0715,0.2536,0.1821,0.076,0.3753,0.2993,0.108,0.1666,0.0586,0.1222,0.1265,0.0043,0.113,0.1532,0.0402,0.0805,0.1396,0.0591,0.0874,0.2108,0.1234,0.0681
"1155","s004",8,5,0.0665,0.1522,0.0857,0.0752,0.1359,0.0607,0.0961,0.0942,-0.0019,0.0669,0.2308,0.1639,0.0708,0.4285,0.3577,0.1291,0.2305,0.1014,0.1014,0.1413,0.0399,0.1111,0.1713,0.0602,0.0966,0.1884,0.0918,0.071,0.2522,0.1812,0.0256
